Tipe Laka Lantas;Jumlah Korban Luka Berat;Jumlah Korban Luka Ringan;Jumlah Korban Meninggal Dunia;latitude;longititude;Direction;Tipe Cahaya;Cuaca;Fungsi Jalan;Kelas Jalan;Geometri Jalan;Tipe Jalan;Kecepatan;Jenis Jalan;Lokasi Jalan;Kecamatan;Jenis Luka ;Age;jenis kelamin;jenis kendaraan
Tabrakan depan - belakang;0;2;0;-7,246220259;112,4488262;Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Jalan Raya Desa Klotok Kecamatan Balongpanggang Kabupaten  Gresik;Balongpanggang;Kecelakaan Ringan ;46-65;Perempuan;Sepeda Angin
Tabrakan depan - belakang;0;2;0;-7,246220259;112,4488262;Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Jalan Raya Desa Klotok Kecamatan Balongpanggang Kabupaten  Gresik;Balongpanggang;Kecelakaan Ringan ;46-65;Perempuan;Sepeda Angin
Tabrakan depan - belakang;0;2;0;-7,246220259;112,4488262;Utara (0°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);50;Jalan Kota / Kabupaten;Jalan Raya Desa Klotok Kecamatan Balongpanggang Kabupaten  Gresik;Balongpanggang;Kecelakaan Ringan ;46-65;Perempuan;Sepeda Angin
Tabrakan depan - belakang;0;1;0;-6,989247733;112,5600946;Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya Desa Mriyunan Kecamatan Sidayu Kabupaten Gresik;Sidayu;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor)
Tabrakan depan - belakang;0;1;0;-7,188124275;112,6135045;Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya Ds. Kedanyang Kec. Kebomas Kab. Gresik;Kebomas;Kecelakaan Ringan ;<17;Perempuan;R2 (Sepeda Motor)
Tabrakan depan - belakang;0;1;0;-7,055594571;112,5812571;Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya Ds. Sukorejo Kec. Bungah Kab. Gresik;Bungah;Kecelakaan Ringan ;<17;Laki-laki;R2 (Sepeda Motor)
Tabrakan depan - belakang;1;0;0;-7,02103383;112,5684559;Selatan (180°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Jalan Raya Ds. Kemangi Kec. Bungah Kab. Gresik;Bungah;Kecelakaan Berat ;<17;Laki-laki;Mini Truk
Tabrakan depan - belakang;0;2;0;-7,163272491;112,6290293;Barat (270°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya Dr. Wahidin Sudirohusodo  Kel. Randuagung Kec. Kebomas Kab. Gresik;Kebomas;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor)
Tabrakan depan - belakang;0;1;0;-7,353808686;112,6029946;Timur (90°);Terang / Jelas;Cerah;Lokal / Lingkungan;II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Kota / Kabupaten;Jalan Raya Ds. Sumput Kec. Driyorejo Kab. Gresik;Driyorejo;Kecelakaan Ringan ;<17;Perempuan;R2 (Sepeda Motor)
Tabrakan depan - belakang;0;2;0;-7,114608058;112,5949296;Barat (270°);Terang / Jelas;Cerah;Arteri;I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran);Lurus;2/2 TB (2 Lajur/2 Arah Tanpa Batas Median);40;Jalan Nasional;Jalan Raya Ds. Manyarrejo Kec. Manyar Kab. Gresik;Manyar;Kecelakaan Ringan ;46-65;Laki-laki;R2 (Sepeda Motor)
