tipe laka lantas;jumlah korban luka berat;jumlah korban luka ringan;jumlah korban meninggal dunia;latitude;longititude;direction;tipe cahaya;cuaca;fungsi jalan;kelas jalan;geometri jalan;tipe jalan;kecepatan;jenis jalan;lokasi jalan;kecamatan;jenis luka ;age;jenis kelamin;jenis kendaraan;cluster;kategori
tabrakan depan - belakang;0;2;0;-7,246220259;112,4488262;utara (0°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya desa klotok kecamatan balongpanggang kabupaten  gresik;balongpanggang;kecelakaan ringan;46-65;perempuan;sepeda angin;1;sedang
tabrakan depan - belakang;0;2;0;-7,246220259;112,4488262;utara (0°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya desa klotok kecamatan balongpanggang kabupaten  gresik;balongpanggang;kecelakaan ringan;46-65;perempuan;sepeda angin;1;sedang
tabrakan depan - belakang;0;2;0;-7,246220259;112,4488262;utara (0°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);50;jalan kota / kabupaten;jalan raya desa klotok kecamatan balongpanggang kabupaten  gresik;balongpanggang;kecelakaan ringan;46-65;perempuan;sepeda angin;1;sedang
tabrakan depan - belakang;0;1;0;-6,989247733;112,5600946;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya desa mriyunan kecamatan sidayu kabupaten gresik;sidayu;kecelakaan ringan;46-65;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan depan - belakang;0;1;0;-7,188124275;112,6135045;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. kedanyang kec. kebomas kab. gresik;kebomas;kecelakaan ringan;<17;perempuan;r2 (sepeda motor);0;tinggi
tabrakan depan - belakang;0;1;0;-7,055594571;112,5812571;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. sukorejo kec. bungah kab. gresik;bungah;kecelakaan ringan;<17;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan depan - belakang;1;0;0;-7,02103383;112,5684559;selatan (180°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan nasional;jalan raya ds. kemangi kec. bungah kab. gresik;bungah;kecelakaan berat;<17;laki-laki;mini truk;2;rendah
tabrakan depan - belakang;0;2;0;-7,163272491;112,6290293;barat (270°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya dr. wahidin sudirohusodo  kel. randuagung kec. kebomas kab. gresik;kebomas;kecelakaan ringan;46-65;laki-laki;r2 (sepeda motor);0;tinggi
tabrakan depan - belakang;0;1;0;-7,353808686;112,6029946;timur (90°);terang / jelas;cerah;lokal / lingkungan;ii (jalan sedang utk beban s/d 10 ton & 12m  panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan kota / kabupaten;jalan raya ds. sumput kec. driyorejo kab. gresik;driyorejo;kecelakaan ringan;<17;perempuan;r2 (sepeda motor);0;tinggi
tabrakan depan - belakang;0;2;0;-7,114608058;112,5949296;barat (270°);terang / jelas;cerah;arteri;i (jalan besar utk beban 10 ton & max 18 m panjang ran);lurus;2/2 tb (2 lajur/2 arah tanpa batas median);40;jalan nasional;jalan raya ds. manyarrejo kec. manyar kab. gresik;manyar;kecelakaan ringan;46-65;laki-laki;r2 (sepeda motor);0;tinggi
